,id,title,vote_average,overview
96,641,Requiem for a Dream,7.9,hope dream four ambitious people shattered drug addiction begin spiraling control look addiction overcomes mind body
97,50014,The Help,7.9,aibileen clark middle aged african american maid spent life raising white child recently lost son minny jackson african american maid often offended employer despite family struggle money desperate need job eugenia skeeter phelan young white woman recently moved back home graduating college find childhood maid mysteriously disappeared three story intertwine explain life jackson mississippi revolves around help yet always kept certain distance racial line
98,31011,Mr. Nobody,7.9,nemo nobody lead ordinary existence wife child one day wake mortal centenarian year
99,7345,There Will Be Blood,7.9,ruthless oil prospector daniel plainview learns oil rich land california bought cheaply move operation begin manipulating exploiting local landowner selling property using young adopted son project image caring family man plainview gain cooperation almost local lofty promise build school cultivate land make community flourish time plainview gradual accumulation wealth power cause true self surface begin slowly alienate everyone life
100,334533,Captain Fantastic,7.9,father living forest pacific northwest six young kid try assimilate back society
101,289,Casablanca,7.9,casablanca morocco december cynical american expatriate meet former lover unforeseen complication
102,582,The Lives of Others,7.9,tragic love story set east berlin backdrop undercover stasi controlled culture stasi captain wieler ordered follow author dreyman plunge deeper deeper life reach threshold doubting system
103,829,Chinatown,7.9,private eye jake gittes life murky moral climate sunbaked pre world war ii southern california hired beautiful socialite investigate husband extra marital affair gittes swept maelstrom double dealing deadly deceit uncovering web personal political scandal come crashing together
104,872,Singin' in the Rain,7.9,hollywood lockwood lina lamont famous screen romantic pair silent movie lina mistake screen romance real love latest film transformed musical perfect voice song strident voice face studio dub voice aspiring actress kathy selden brought working movie fall love
105,1955,The Elephant Man,7.9,victorian surgeon rescue heavily disfigured man mistreated owner side show freak behind monstrous fa ade revealed person great intelligence sensitivity based true story joseph merrick called john merrick film severely deformed man th century london
106,406,La Haine,7.9,aimlessly whiling away day concrete environs dead end suburbia vinz hubert said jew african arab give human face france immigrant population bristling resentment social marginalization slowly simmering reach climactic boiling point la haine mean hate
107,595,To Kill a Mockingbird,7.9,small alabama town scrupulously honest highly respected lawyer atticus finch put career line agrees represent tom robinson black man accused rape trial event surrounding seen eye finch six year old daughter scout robinson trial give movie momentum plenty anecdotal occurrence court date scout ever strengthening bond older brother jem friendship precocious young dill harris father nonsense reaction life death crisis rampaging mad dog especially scout reaction relationship boo radley reclusive village idiot turn salvation attacked venomous bigot
108,9277,The Sting,7.9,set intricate caper deal ambitious small time crook veteran con man seek revenge vicious crime lord murdered one gang
109,387,Das Boot,7.9,german submarine hunt allied ship second world war soon becomes hunted crew try survive surface stretching boat limit
110,490,The Seventh Seal,7.9,disillusioned swedish knight antonius block return home crusade find country grip black death challenge death chess match life tormented belief god exist block set journey meeting traveling player jof wife mia becoming determined evade death long enough commit one redemptive act still life
111,521,Dial M for Murder,7.9,ex tennis pro carry plot wife murdered discovering affair assumes soon leave man anyway thing go wrong improvises new plan frame murder instead
112,293310,Citizenfour,7.9,june laura poitras reporter glenn greenwald flew hong kong first many meeting edward snowden brought camera film resulted series tense encounter absolutely sui generis history cinema real life thriller unfolding minute minute eye poitras great brave filmmaker also masterful storyteller compress many day questioning waiting confirming watching world reaction agonizing next move great character study snowden narrative leave edge seat inexorably move toward conclusion
113,68718,Django Unchained,7.8,help german bounty hunter freed slave set rescue wife brutal mississippi plantation owner
114,14160,Up,7.8,carl fredricksen spent entire life dreaming exploring globe experiencing life fullest age life seems passed twist fate persistent year old wilderness explorer named russell give new lease life
115,11324,Shutter Island,7.8,world war ii soldier turned u marshal teddy daniel investigates disappearance patient hospital criminally insane effort compromised troubling vision also mysterious doctor
116,10681,WALL·E,7.8,wall e last robot left earth overrun garbage human fled outer space year continued try clean mess developed rather interesting human like quality ship arrives sleek new type robot wall e think finally found friend stows away ship leaf
117,177572,Big Hero 6,7.8,special bond develops plus sized inflatable robot baymax prodigy hiro hamada team group friend form band high tech hero
118,37165,The Truman Show,7.8,truman burbank star truman show hour day reality tv show broadcast every aspect life live color without knowledge entire life unending soap opera consumption rest world everyone know including wife best friend really actor paid part life
119,194,Amélie,7.8,tiny parisian caf adorable yet painfully shy lie audrey tautou accidentally discovers gift helping others soon amelie spending day matchmaker guardian angel around gooder bump handsome stranger find courage become star love story
120,324786,Hacksaw Ridge,7.8,wwii american army medic desmond do served battle okinawa refuse kill people becomes first conscientious objector american history receive congressional medal honor
121,13223,Gran Torino,7.8,walt kowalski widower hold onto prejudice despite change michigan neighborhood world around kowalski grumpy tough minded unhappy old man get along either kid neighbor korean war veteran whose prize possession gran torino keep mint condition neighbor thao young hmong teenager pressure gang member cousin try steal gran torino kowalski set reform youth drawn life thao family kowalski soon taking step protect gang infest neighborhood
122,5915,Into the Wild,7.8,true story top student athlete christopher mccandless graduating emory university abandoned possession gave entire saving account charity hitchhiked alaska live wilderness
123,115,The Big Lebowski,7.8,jeffrey dude lebowski los angeles slacker want bowl drink white russian mistaken another jeffrey lebowski wheelchair bound millionaire find dragged strange series event involving nihilist adult film producer ferret errant toe large sum money
124,314365,Spotlight,7.8,true story boston globe uncovered massive scandal child abuse cover within local catholic archdiocese shaking entire catholic church core
125,627,Trainspotting,7.8,renton deeply immersed edinburgh drug scene try clean get despite allure drug influence friend
126,2108,The Breakfast Club,7.8,five high school student different stereotype meet detention pour heart discover lot common thought
127,381284,Hidden Figures,7.8,untold story katherine g johnson dorothy vaughan mary jackson brilliant african american woman working nasa serving brain behind one greatest operation history launch astronaut john glenn orbit visionary trio crossed gender race line inspire generation dream big
128,122906,About Time,7.8,night another unsatisfactory new year party tim father tell son men family always ability travel time tim change history change happens happened life decides make world better place getting girlfriend sadly turn easy think
129,762,Monty Python and the Holy Grail,7.8,king arthur accompanied squire recruit knight round table including sir bedevere wise sir lancelot brave sir robin quite brave sir lancelot sir galahad pure way arthur battle black knight despite limb chopped insists still fight reach camelot arthur decides enter silly place
130,1091,The Thing,7.8,scientist antarctic confronted shape shifting alien assumes appearance people kill
131,235,Stand by Me,7.8,death friend writer recount boyhood journey find body missing boy
132,4348,Pride & Prejudice,7.8,pride prejudice humorous story love life among english gentility georgian era mr bennet english gentleman living hertfordshire overbearing wife five daughter mr bennet dy house inherited distant cousin never met family future happiness security dependent daughter making good marriage
133,524,Casino,7.8,life gambling paradise la vega dark mafia underbelly
134,279,Amadeus,7.8,incredible story genius musician wolfgang amadeus mozart told flashback peer secret rival antonio salieri confined insane asylum
135,213,North by Northwest,7.8,advertising man roger thornhill mistaken spy triggering deadly cross country chase
136,703,Annie Hall,7.8,city new york comedian alvy singer fall love ditsy annie hall
137,938,For a Few Dollars More,7.8,two bounty hunter pursuit el indio one wanted fugitive western territory gang
138,11778,The Deer Hunter,7.8,group working class friend decides enlist army vietnam war find hellish chaos noble venture imagined left steven married pregnant girlfriend michael nick love woman three different men upon return
139,10515,Castle in the Sky,7.8,orphan sheeta inherited mysterious crystal link mythical sky kingdom laputa help resourceful pazu rollicking band sky pirate make way ruin great civilization sheeta pazu must outwit evil muska plan use laputa science make ruler world
140,947,Lawrence of Arabia,7.8,epic british officer e lawrence mission aid arab tribe revolt ottoman empire first world war lawrence becomes flamboyant messianic figure cause arab unity psychological instability threatens undermine achievement
141,9323,Ghost in the Shell,7.8,year barrier world broken net cybernetics brings new vulnerability human form brain hacking highly wanted hacker known puppetmaster begin involving politics section group cybernetically enhanced cop called investigate stop puppetmaster
142,20453,3 Idiots,7.8,tradition ferris bueller day come refreshing comedy rebellious prankster crafty mind heart gold rascal joker dreamer genius never met college student quite like rancho moment arrives india prestigious university rancho outlandish scheme turn campus upside along life two newfound best friend together make life miserable virus school uptight heartless dean rancho catch eye dean sexy daughter virus set sight flunking idiot
143,149,Akira,7.8,childhood friend tetsuo kaneda pulled post apocalyptic underworld neo tokyo forced fight survival kaneda bike gang leader tetsuo member tough motorcycle crew becomes involved covert government project called akira bloody battle ensues kaneda set save friend
144,5925,The Great Escape,7.8,nazi exasperated number escape prison camp relatively small number allied prisoner relocates high security escape proof camp sit remainder war undaunted prisoner plan one ambitious escape attempt world war ii based true story
145,25376,The Secret in Their Eyes,7.8,retired legal counselor writes novel hoping find closure one past unresolved homicide case unreciprocated love superior still haunt decade later
146,696,Manhattan,7.8,life divorced television writer dating teenage girl complicated fall love best friend mistress
147,24238,Mary and Max,7.8,tale friendship two unlikely pen pal mary lonely eight year old girl living suburb melbourne max forty four year old severely obese man living new york mid homely friendless australian girl pick name manhattan phone book writes includes chocolate bar writes back chocolate thus begin year correspondence two ever meet face face
148,1580,Rope,7.8,two young men strangle inferior classmate hide body apartment invite friend family dinner party mean challenge perfection crime
149,7347,Elite Squad,7.8,visit pope rio de janeiro captain nascimento bope special police operation battalion assigned eliminate risk drug dealer dangerous slum nearby pope intends lodged
150,804,Roman Holiday,7.8,overwhelmed suffocating schedule touring european princess ann take night rome sedative took doctor kick however fall asleep park bench found american reporter joe bradley take back apartment safety work next morning joe find ann regal identity bet editor get exclusive interview romance soon get way
151,673,Harry Potter and the Prisoner of Azkaban,7.7,harry ron hermione return hogwarts another magic filled year harry come face face danger yet time form escaped convict sirius black turn sympathetic professor lupin help
152,862,Toy Story,7.7,led woody andy toy live happily room andy birthday brings buzz lightyear onto scene afraid losing place andy heart woody plot buzz circumstance separate buzz woody owner duo eventually learns put aside difference
153,24,Kill Bill: Vol. 1,7.7,assassin shot altar ruthless employer bill member assassination circle bride life plot vengeance setting payback make death list hunt wronged saving bill last
154,269149,Zootopia,7.7,determined prove officer judy hopps first bunny zootopia police force jump chance crack first case even mean partnering scam artist fox nick wilde solve mystery
155,752,V for Vendetta,7.7,world great britain become fascist state masked vigilante known v conduct guerrilla warfare oppressive british government v rescue young woman secret police find ally continue fight free people britain
156,280,Terminator 2: Judgment Day,7.7,nearly year passed since sarah connor targeted termination cyborg future son john future leader resistance target newer deadly terminator resistance managed send protector back attempt save john mother sarah
157,393,Kill Bill: Vol. 2,7.7,bride unwaveringly continues roaring rampage revenge band assassin tried kill unborn child visit former associate one one checking victim death list five nothing left kill bill
158,85,Raiders of the Lost Ark,7.7,dr indiana jones tweed suited professor happens celebrated archaeologist hired government locate legendary ark covenant find entire nazi regime
159,640,Catch Me If You Can,7.7,true story frank abagnale jr th birthday successfully conned million dollar worth check pan pilot doctor legal prosecutor fbi agent make mission put behind bar frank eludes capture revel pursuit
160,141,Donnie Darko,7.7,narrowly escaping bizarre accident troubled teenager plagued vision large bunny rabbit manipulates commit series crime
161,197,Braveheart,7.7,enraged slaughter murron new bride childhood love scottish warrior william wallace slays platoon local english lord soldier lead village revolt eventually entire country rise english rule
162,679,Aliens,7.7,ripley lifepod found salvage crew year later find terra former planet found alien specie company sends family colonist investigate story contact lost planet colonist enlist ripley colonial marine return search answer
163,745,The Sixth Sense,7.7,psychological thriller eight year old boy named cole sear belief see world dead child psychologist named malcolm crowe come cole help deal problem learning really see ghost dead people
164,11036,The Notebook,7.7,epic love story centered around older man read aloud woman alzheimer faded notebook old man word bring life story couple separated world war ii passionately reunited seven year later taken different path
165,453,A Beautiful Mind,7.7,princeton university john nash struggle make worthwhile contribution serve legacy world mathematics finally make revolutionary breakthrough eventually earn nobel prize graduate school turn teaching becoming romantically involved student alicia meanwhile government asks help breaking soviet code soon get involved terrifying conspiracy plot nash grows paranoid discovery turn entire world upside alicia help able recover mental strength regain status great mathematician know today
166,6977,No Country for Old Men,7.7,llewelyn moss stumble upon dead body million hoard heroin texas desert methodical killer anton chigurh come looking local sheriff ed tom bell hot trail role prey predator blur violent pursuit money justice collide
167,84892,The Perks of Being a Wallflower,7.7,coming age story based best selling novel stephen chbosky follows year old freshman charlie endearing naive outsider taken wing two senior moving tale love loss fear hope unforgettable friend help u life
168,107,Snatch,7.7,second film british director guy ritchie snatch tell obscure story similar first fast paced crazy character colliding filled film lock stock two smoking barrel two overlapping story one search stolen diamond boxing promoter trouble psychotic gangster
169,1402,The Pursuit of Happyness,7.7,true story christopher gardner invests heavily device known bone density scanner find struggle sell product marginally better current technology much expensive wife leaf loses house bank account credit card forced live street young son desperate find steady job take job stockbroker receive pay need go month training must sell device
170,70,Million Dollar Baby,7.7,despondent painful estrangement daughter trainer frankie dunn prepared boxer maggie fitzgerald enter life maggie determined go pro convince dunn cohort help
